"title","count(title)"
"SERVO",381
"AENEAS/N",381
"TRAHO",377
"VVLNVS",376
"RVRSVS",375
"MVLIER",375
"CONSTITVO",374
"SVMO",373
"PVLCHER",373
"AMICITIA",369
"IVS/1",367
"VIX",367
"QVIN/1",366
"VENVS/N",366
"PEREO/1",366
"SAXVM",366
"STVDIVM",365
"INIVRIA",365
"VERTO",364
"DVRVS",363
"SPECIES",360
"MOX",359
"OPS",358
"IACEO",358
"INTERFICIO",358
"ORDO",356
"CVPIO",356
"LEGATVS",355
"PATRIA",355
"FATVM",355
"GAIVS/N",355
"SECVNDVS/1",355
"SENATVS",354
"PLENVS",353
"TEGO",353
"ADDO",352
"CERNO",352
"FACILIS",352
"PRINCEPS/1",351
"SOROR",351
"CLARVS",350
"FVGA",346
"DIGNVS",345
"HVMANVS",344
"SERVVS/1",344
"PAX",344
"CIVIS",342
"HAVD",342
"VMBRA",342
"QVATVOR",341
"PREMO",341
"TRISTIS",339
"ADHVC",338
"POTESTAS",338
"STATIM",337
"NESCIO",337
"CEDO/1",337
"MVNDVS/2",337
"SVO",336
"DISCO",336
"ADEO/2",336
"VIRGO",335
"TEMPLVM",334
"MALVM/1",334
"ALO",334
"BREVIS",334
"LICEO",333
"MORTALIS/2",331
"CAMPVS/1",331
"SERMO",331
"ANIMA",331
"DEA",330
"FORMA",330
"PRIMVM",326
"VETVS",326
"SOLVO",326
"CONVENIO",324
"OPPIDVM",323
"LICET/1",323
"AVXILIVM",321
"CONSTO",321
"INTELLIGO",319
"SAEVVS",319
"SOMNVS",319
"SEXTVS/N",318
"FALLO",317
"PROVINCIA",316
"SVBEO/1",315
"FLAMMA",315
"TERTIVS",314
"SCELVS",314
"VELVT/1",314
"FILIA",314
"MISCEO",313
"METVS",313
"CONIVX",313
"TANTVM/2",313
"TELLVS",313
"GLORIA",313
"LATVS/2",312
"AVRIS",312
"AER",312
"FACIES",311
"ECCE",310
"LAVDO",309
"SIVE/1",309
"PECVNIA",309
"OCCIDO/2",309
"IVDEX",308
"MORA",307
"SVPERO",307
"PROFICISCOR",307
"OSTENDO",306
"SENEX/2",305
"AEQVVS",305
"IVDICIVM",304
"TRANSEO/1",304
"GAVDEO",304
"VITO",303
"REGO",303
"ACER/2",303
"CVRSVS",302
"CRIMEN",302
"FELIX",302
"DEFENDO",302
"IMAGO",302
"SIDVS",302
"PROCVL",302
"PRAETEREA",301
"LAVS",301
"LITTERA",300
"VITIVM",300
"CVRO",299
"SEDEO",298
"PERVENIO",298
"CASVS",298
"DIVINVS/2",297
"ACCEDO/1",296
"MVRVS",296
"INGENIVM",296
"COMMVNIS",295
"IVNGO",295
"MOLLIS",295
"AVREVS/2",294
"HVC",294
"MEREO",294
"SOCIVS/1",293
"PVGNO",293
"REPERIO",292
"IVVO",291
"TACEO",291
"COMES",291
"AGMEN",290
